GEO.id,,United States,57617
Id,,Maryland,78945
0100000US,,Alaska,76440
0100000US,,New Jersey,76126
0100000US,,District of Columbia,75506
0100000US,,Massachusetts,75297
0100000US,,Hawaii,74511
0100000US,,Connecticut,73433
0100000US,,New Hampshire,70936
0100000US,,Virginia,68114
0100000US,,California,67739
0100000US,,Washington,67106
0100000US,,Utah,65977
0100000US,,Colorado,65685
0100000US,,Minnesota,65599
0100000US,,New York,62909
0100000US,,Delaware,61757
0100000US,,Illinois,60960
0100000US,,North Dakota,60656
0100000US,,Rhode Island,60596
0100000US,,Wyoming,59882
0100000US,,Vermont,57677
0100000US,,Oregon,57532
0100000US,,Nebraska,56927
0100000US,,Pennsylvania,56907
0100000US,,Wisconsin,56811
0100000US,,Texas,56565
0100000US,,Iowa,56247
0100000US,,Nevada,55180
0100000US,,Kansas,54935
0100000US,,South Dakota,54467
0100000US,,Georgia,53559
0100000US,,Arizona,53558
0100000US,,Maine,53079
0100000US,,Michigan,52492
0100000US,,Ohio,52334
0100000US,,Indiana,52314
0100000US,,Idaho,51807
0100000US,,Missouri,51746
0100000US,,Florida,50860
0100000US,,North Carolina,50584
0100000US,,Montana,50027
0100000US,,South Carolina,49501
0100000US,,Oklahoma,49176
0100000US,,Tennessee,48547
0100000US,,New Mexico,46748
0100000US,,Kentucky,46659
0100000US,,Alabama,46257
0100000US,,Louisiana,45146
0100000US,,Arkansas,44334
0100000US,,West Virginia,43385
0100000US,,Mississippi,41754
0100000US,,Puerto Rico,20078
0100000US,,,
0100000US,,,
