source,has_social_referral,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
google,No,314743263,758418352,195322580,2.4096412573571113,148.30301520067803,314053106
(direct),No,208516971,579808789,121937993,2.7806311698245416,151.54698195764604,208256466
usps.com,No,32279992,80730282,12087246,2.500938723900551,147.74436053144004,32216675
bing,No,27332208,92925166,16876736,3.3998411690705703,180.40345028107498,27265273
weather.gov,No,19503494,41271028,4263958,2.116083815546076,119.55096866233302,19496258
irs.gov,No,17218649,60305071,7806101,3.5023114182767765,162.2895566893779,17106487
yahoo,No,12989967,33589753,8499876,2.5858228123289306,149.5081162253915,12961022
forecast.weather.gov,No,12865142,25657017,1589261,1.9943049987322332,160.5852503610143,12848861
reg.usps.com,No,11303017,23144231,2997615,2.0476153402228805,134.59875553580076,11119398
login.usajobs.gov,No,11177288,60040948,2756105,5.371691952466466,322.67361322352974,11174574
usajobs.gov,No,9246114,16487788,2352685,1.7832127096853878,66.8303674386883,9145711
m.facebook.com,Yes,8341583,12844338,7187402,1.5397962233307514,43.31772038952319,8339774
checkout.shopify.com,No,6269303,8297261,1781926,1.3234742362907008,74.60179177812908,6269303
noaa.gov,No,6032316,9133952,1743935,1.514170013639869,69.28820091653023,6031412
find.irs.gov,No,5567387,14327768,2276704,2.573517522672665,115.70902328147837,5558342
cns.usps.com,No,5514925,9150234,1628156,1.6591765073867732,57.06904536326423,5509497
sa.www4.irs.gov,No,4745169,13142833,2263136,2.7697291708683083,149.7064357454919,4738837
tools.usps.com,No,4553408,10185922,1904942,2.2369886467454707,147.56079424466245,4531699
my.usps.com,No,3719431,8300879,1246443,2.231760449380564,105.82197868437403,3665159
t.co,Yes,3653400,7010114,2797714,1.9187918103684238,56.90418486888925,3651591
